タイトル: SaaS開発における初期費用設定の見直しとプロジェクト進捗の現状報告
録音ID: rec_20260416143242
文字起こしID: 20
録音日時: 2026-04-16T14:32:42.147Z
文字起こし日時: 2026-04-16 14:33:55
エンジン: deepgram
言語: auto
使用テキスト: refined
元ファイル: rec_20260416143241_76547d64a62fc2a9.webm

[00:02] speaker_0: C3の方が七百五十万ぐらいで伝えてて、あの国分さんには。国分さんの紹介してくれた会社が結局いくらなのかまだ出てこないので
[00:15] speaker_0: それも踏まえと、多分5月末が伸びるだろうな、と
[00:21] speaker_0: いう状況になりました。で、うちが五百万円ぐらい出そうかって一瞬思ったんですけど、その時に
[00:30] speaker_0: ていうか、それもちょっと伝えたんですけど、うちでやるならはあのシースリーよりももうちょっと安いって。ただ五百万円でうちにクラスをもらって納品させてもらうよりも、結局うちのサービスにやっぱりした方がいいよなっていうのはずっと思っているところがあって
[00:49] speaker_0: その時にね、ふと思ったんですけど、初期費用をしっかりもらえればいいだけなんじゃないかって思ったんです。
[00:59] speaker_0: 僕は頭としてSaaSだからサブスクとして初期費用なしというか、初期費用なしっていうか、本当に十万とかの何かイメージでいたんですよ。月五万とか十万とか
[01:15] speaker_0: そう、サブスクあとフラットなサブスクじゃないですか。だからその初期の開発費用出ねえよなってずっと思ってたんですけど。冷静に考えたら初期費用百万円っても別におかしくはないなと思ったんです。
[01:30] speaker_0: そうだから初期費用が御社のためのカスタマイズエンタープライズなので二百万円ですって言っても別に変なことでは全くないなと思って
[01:40] speaker_0: セットアップ代
[01:44] speaker_0: その後SaaS・サブスクになってただ管理費払う。結局過度に頼んでも十二万の管理費払うわけだから
[01:55] speaker_0: うちはサブスク十万円です、とかサブスクパーセンテージで良いです、みたいな
[02:02] speaker_0: 設定もいけるじゃないですか
[02:06] speaker_0: っていうか、そう思ったら、もちろんたくさんもらえたら嬉しいけど、たくさんもらわなくても200万円ちょっともらえていれば、初期の予定じゃなかったじゃないですか。200万円って動かせるかって、自分のサービスにして使ってもらうにできるかって、ちょっとそういう結論に僕の中ではずつなっている
[02:26] speaker_0: っていう
[02:33] speaker_0: 変わんないし、かも権利は絶対落ちっていう都合いい感じになりそうだなと。ただそうすると、僕の先輩エンジニアとか集めてたのがそこまで出すとこっちの手残りが本当のゼロになっちゃう。例えば200万でなんとかやってくださいって言ったら、一人三十万かける四人とかで百二十万
[02:53] speaker_0: 十万とか
[02:55] speaker_0: ちょっと先輩には多めにっていうので百五十万は出てっちゃうから、そうするとほぼゼロっていう話になっちゃって、なんかそれはそれでなんかそこまでしてやってもらうことも正直ないんじゃねえかとすら思ってきて
