タイトル: 過疎化した趣味系Discordサーバーを再び盛り上げるための活性化戦略
録音ID: rec_20260416151221
文字起こしID: 21
録音日時: 2026-04-16T15:12:21.474Z
文字起こし日時: 2026-04-16 15:12:35
エンジン: deepgram
言語: auto
使用テキスト: refined
元ファイル: rec_20260416151221_a2b0536a5790c0ac.webm

[00:02] 今日はお悩みをどうしていこうと思いますが、今日は20代後半のDiscordサーバーの管理人の方からのご相談です。ね、私が運営している趣味系Discordサーバーが最近全然盛り上がらなくてめちゃくちゃ焦っています。元々は50人ぐらいでワイワイやっていたのですが、今発言する人は数人しかいなくて
[00:22] 人がいなくてチャットがほぼ死んでいる状態。去年は大きなイベントを企画したのですが、参加者は10人も集まらず、準備に費やした時間は無駄になった気がして落ち込みました。新しい人を誘うためにSNSで呼びかけたり、サーバー内でテーマを決めた雑談を変えられたりしましたが、反応が薄くて正直疲れ果てています。どうやったらまた活気を取り戻せる
[00:42] のか、メンバーが自然に話したくなる環境ってどう作ればいいのか、全然アイデアが浮かばなくて途方に暮れていました。ということでした
[00:53] これは悩ましいというか、なかなか大変ですよね。まず
[01:06] そうですね、かなり厳しいなと思うんだけど、そもそも50人ぐらいいたんです。というところから始まっていると思うんです。コミュニティっていうのは基本的に、入ってきた人の熱量が最も高いのはどこかと考えると当然なんですけど、入った時なんですよね。なのであとはコミュニティ立ち上がり
[01:26] その時一番熱量が高かったりします。
[01:30] なので、結構多くの、なんて言うんでしょう。多くのオーナーさんからテコ入れの相談もらうんです。一次はある程度やってきたけどうまくいかなかったので、テコ入れをしたいという風なご相談もらうんですけど、一回落ちたコミュニティをもう一回
[01:51] 持ち上げるのって結構パワーが要るんですよ。それであれば一から作った方が早いっていうくらいにはパワーが要ります。というのも
[02:04] 50人の中で数人しか話していなくて、まあ多分2、3人とか3、4人しか話していない中で、残りの45人にどうアプローチするのっていうのはかなりハードル高いわけですよ。見ていないから、その人たちはすでにもう見ていません。見ていてスルーしてる人は見ていないが、スルーする前提で見る
[02:24] 読んでいる人、参加している人は20人ちょっとかなと思います。だけどその中でも発言はしなくていいやと思ってる人が大体18人とか17人とか、発言している人が3～4人っていう感じだなという風にね。勝手な推
[02:44] 予測ですけど思います、そうなっちゃうのにはやっぱり理由があるわけですよ。
[02:53] ね、理由があるんですけど、まずDiscordについては、チャットはね、これ過疎るようにできてます。これも大前提。そういう風に思ってください。チャットが盛り上がるようには、Discordはできてません。というのも、これねLINEのグループLINEと一緒だと思ったら分かりやすいと思うんですけど、なんかこうグループLINE
