タイトル: AIコンテストの実態は企業のPR案件であり審査体制も形骸化している
録音ID: rec_20260420131947
文字起こしID: 24
録音日時: 2026-04-20T13:19:47.782Z
文字起こし日時: 2026-04-20 13:20:04
エンジン: deepgram
言語: auto
使用テキスト: refined
元ファイル: rec_20260420131947_4c48778f11457af0.webm

[00:00] speaker_0: コンテスト開くじゃん
[00:04] speaker_0: そうするとそこに人が集まってきて審査員が居てってなるんだけどやってることがコンテストを開く時に結局どっかの企業が協賛に入ってるというかむしろその企業が主体となって開いてるんだけど企業がやるんじゃなくてインフルエンサーに開かせるっていうさPR案件なんだよね
[00:24] speaker_0: 要はロバートとシードリームのコンテストっていうのはこの間大きく開かれてたんだけどロバートを使ってシードリームのモデルであなたの作品を作ってくださいそれを私たちが評価しますみたいな
[00:41] speaker_0: それに参加するにはロバートに登録する必要があるわけ
[00:45] speaker_1: じゃん
[00:46] speaker_0: という結局そこPRだよねっていうのがまあ一個あるわけ
[00:52] speaker_0: でコンテストってさ結局コンテストの審査員って誰ですかって言ったらAI界隈で有名な人なんだよね
[01:01] speaker_0: それこそ下僕さんも話は来たけど断ったって言ってたんだけどさ、めんどくせえから、それでも下僕さんも自分でも一切別に映像専門家じゃないから
[01:13] speaker_0: 言っても知ろうとかさお城があって作ってるだけなのに、それが審査してみたいなのってなんかどうなのみたいな
[01:23] speaker_1: それっ
[01:24] speaker_0: それって作品として評価されてると言えるのみたいな。なんかそんな話をちょっとしてて結局だって、それって内輪の中でお笑い大会やってるとか内輪のバンド大会やってるみたいなもので外に出てなくない？みたいな
[01:40] speaker_2: もうそうやな
[01:42] speaker_0: AI好きの人たちで集まってAI好きの中の有名人が審査してあのなんかちょっとお金もらえたりクレジットもらえてでも実はそれは全てプロモーションの一環でみたいな
[01:55] speaker_0: これなんか終わってないっていうさ
[01:59] speaker_0: でもそれは潜在的にみんな外のクリエイターと戦ったら負けるって分かってるからAIのコンテストに参加するんじゃないかって俺は思ってんだ
[02:10] speaker_2: ああ確かに
[02:12] speaker_0: 外と戦う外に殴り込みに行くってことじゃなくて、あくまでAIの中で凄い凄いってなってる安全な場所で
[02:24] speaker_0: だからちょっとずつAI自体がAIを使ってる人たちが限界を感じてるのかねってそういうのがいろいろ重なって何か我慢みたいな
[02:40] speaker_0: もう一個すごいねあのAI疲れの要因もあって、それがAIを先に使っていたらAIの先行者用意があるはずだって信じていたわけ
[02:54] speaker_0: よく分かるAIを先に使ってる人が勝つってよく言ってたじゃん、今のうちにAIに触れておかなくちゃいけないみたい
[03:04] speaker_2: YouTube以降、それはいろんなことですごいよな
[03:09] speaker_0: でもその、確かに慣れておくのは大事だよね。アレルギーを持ってしまったら負けてしまう
[03:19] speaker_0: だけどアレルギーを持ったらやめちゃうけど別にアレルギーとまで行ってなければ後から使っても全然いいよねっていうさAIがすごすぎて
[03:31] speaker_0: 極論今から使ったところで、たぶん俺らを超えてくるやつっていっぱい出てくるよね、みたいなさ
[03:43] speaker_2: 正直って勝ちだと思うやんか
[03:51] speaker_2: そこね、そんなことない
[03:52] speaker_0: い、それがね
[03:55] speaker_2: そうですな、ところ
[03:57] speaker_0: いやでもそれはあるね。結局難しいよな。ガチャだよな
[04:01] speaker_2: うまくできたやつが投稿者様々反応良かったっていうか
[04:09] speaker_0: それに現してると
[04:12] speaker_0: 前は間違いなくそうだったのだ。前はガチャでうまく出たって言って投稿したらすごいSSRの作品だった、なるわけだよな。それもたまたまさ、なんか目新しいからバズってっていうのがお前の世界だったけど、今は
[04:33] speaker_0: たまたま良いものが出る
[04:38] speaker_0: っていうことは
[04:41] speaker_0: 何だろうな減ってきた気がする
[04:46] speaker_2: 全部出てくるな
[04:49] speaker_0: 全部出てくるし、全部つまんないものが出てくるとも言える。
[04:55] speaker_0: ガチャの要素自体は正直減ってきている
[05:00] speaker_0: と思うんだけどそれが故に
[05:04] speaker_0: そこが正しく語彙化できなかったりとかそのビジョンがない人たちが作ると逆に言うとガチャ頼りになるっていうか
[05:12] speaker_2: になるっていうなんか
[05:14] speaker_1: そんな感じ。だから結局
[05:16] speaker_0: だと正しく使えるやつが勝つよねって俺は今は思ってる。色んなAIを見て特にプログラミングとかの世界になってくるとさ、ガチャで言い物できることはなくなるんじゃないかって思ったりもする。まあでも何にしてもその当時のバズったAIの人たちは全員ガチャに勝った人たち
[05:35] speaker_0: デザインもそうだなって思う。ガチャで何か出てくることはなくなった。未だに画像生成とかはそうだと思う。でも結局何かがちがちのプロンプト組んでる人が強いなと思ったりもする。まあでも何にしてもその当時のバズったAIの人たちは全員ガチャに勝った人たち
[05:56] speaker_0: 今改めてAIの作品で何か勝つことできるのかって言ったら無理じゃないって思っちゃうわけ
[06:04] speaker_1: まあ
[06:04] speaker_2: じゃね、前社長さんが言ってたっていうのもそういうことやんな
[06:10] speaker_0: 誰が言ってた？あ、そう。社長さんが言ってたのもそういうことだと思う
[06:13] speaker_2: 要は下請けとアルゴリズムにしかできないっていう
[06:20] speaker_0: そう、まさにそう
[06:24] speaker_0: 本当に面白かったのって多分ガベルが最後だと思う。俺の中では
[06:29] speaker_2: まあそうだね、ガベルは怖かった
[06:32] speaker_0: ガベルはガチャの中でも相当いいガチャをちゃんと自分で設計して回してる人で、その手前の面白さは昭和のCM作ってみたみたいな面白系動画のあの辺って街に、やっぱり人間が予測できない意味不明なものを作るAIの面白さがそこにあったんじゃ
[06:52] speaker_2: arishあれやねん
[06:56] speaker_2: ぶっ壊れてるAIの方が面白かった
[07:00] speaker_0: たくわくしたAIチューバーとか面白かったじゃん、でも今はあんなの作れないっていうか、さ、ああいうのを狙って作るしかなくなるから、もうその人でつまんないんだ
[07:16] speaker_1: よな
[07:17] speaker_0: っていうさ、感じ
[07:22] speaker_0: でもそれで言ったら昔の人たちは狙って作ったらつまんなくてさ、ガチャの要素が消えたらさ、アルゴリズムに乗ることもなくてさ、もう何のこっちゃじゃないもはや
[07:37] speaker_0: っていう色々込みで
[07:41] speaker_0: 疲れたなAIって思った
[07:52] speaker_0: でもね、逆に希望はあって
[07:56] speaker_0: それがAI界隈から離れることだなって
[08:02] speaker_0: AI界隈でAIのことになってる限りは、そこはもうなんか孤独みたいな状態、無視無視のね
[08:15] speaker_0: 孤独みたいな状態で
[08:21] speaker_0: 使ってないんだから
[08:27] speaker_0: こんなことできるんですかを本当に今は異世界転生で無双した方がいいよって
[08:32] speaker_2: 思うね
[08:38] speaker_0: あとではもう一個は日常をAIをもっと絡ませることをみんなしたらいいのにって思ってる
[08:47] speaker_0: AI疲れの一番の嫁はパソコンだと俺は思っていて、今いてさ、パソコンから出ないAIたち
[08:57] speaker_0: これができる、これは全てパソコンの中のもので、パソコンを操作できるみたいな、それはいいからって感じになって
[09:09] speaker_0: これちょっとそこに
[09:14] speaker_2: 何かが変わるわけでもないも
[09:15] speaker_0: 所詮パソコンの中でできることだけだからお金は稼がれて帰るかもしれないけど、なんか現実の生活は何も良くなってないっていうかさ。飯は上手くなってないし、洗濯物は普通にあるし、天気は
[09:32] speaker_2: 雨降る
[09:32] speaker_0: みたいな何もAIが来たことで変わんないんだよな
