タイトル: rec_20260422030739
録音ID: rec_20260422030739
文字起こしID: 29
録音日時: 
文字起こし日時: 2026-04-22 03:07:53
エンジン: grok-stt
言語: Japanese
使用テキスト: refined
元ファイル: 

[00:00] はい、ということで、グロクティーティーエスでね、グロクをお二人さん、ありがとうございます。 また来ていただきましたね。
[00:07] 今度こそ今日はロクンの実験をしているというところです。こんにちは。昨日は満たしていなかったんでね、もうびっくりしちゃいましたけど。
[00:25] 今日も、いろんなお悩みに対して答えていくという配信です。こう、みんなからご募集できるように、マシュマロでも
[00:34] 作ろうかなって思ってます。マシュマロを作ってみようかな。マシュマロ、マシュマロって使ったことあります。僕は送ったことはないんですよ、実は。
[00:55] 送ったこともない、やったこともないんですけど、できそうだな。Passkeyを設定した。メッセージ受け取り設定は、誰からでもOKにしておくか。
[01:15] 追い返しにて、メッセージを募集。いろいろとコメント欄にURLを貼ったらどうなるんだろう。その辺も実験してみます。
[01:31] たぶん違うものですね
[01:35] コメント欄のURLは別にクリックできないんだ。なるほどね。
[01:41] できる方がいいかな。
[01:45] チャット欄のURLをクリックできるようにしてほしい、という要望を出しておきます。
[02:08] マシュマロというのは、ざっくり言うと、バリゾゴンとかヒボウチュウをはじいて、メッセージが届くというサービスです。
[02:21] なぜなら、活動者の方は、お便り募集をメールなどですると、とんでもないバリゾウ文とか、わけわからん画像をたくさん送られたりして大変なので、マシュマロを通すと、そういったものが自動的に排除され、いいメッセージだけが手元に残ると。
[02:38] という、そういったサービスですね。ただ、日本語で言うと皮肉のようなものに特化しているわけではありませんから、普通に皮肉は届くんです。はい、ということで
[02:50] アジェリさん、ありがとうございます。はい、じゃあ私の方で普段やっていることをやるだけなんで、テキストを選択したリンクをいただきました。ありがとうございます。あ、これ全部出ちゃうんだ。恥ずかしいな。
[03:04] なかったことにしましょう。これ、削除した方が恥ずかしいから消しました。自分のツイッターのログインしたツイッターのビオが全部出ちゃうんですね。それ、ちょっと恥ずかしいので、やめときます。
[03:19] まあ、そんな感じのアシマロというものがあるんですけど、今日はコミュニティの悩みの相談に関してです。ということで、普段は、コミュニティの悩みを募集して、お答えさせてもらうということをやっています。
[03:29] ちょっと別の場所で募集してるんですけど、ここじゃなくて、コミュニティの悩みを募集して、お答えさせてもらうということをやっています。で、ちょっとこの中で、こういう相談を来てもらっています、ということで、皆さん気を使って消していただいてありがとうございます。
[03:49] はい、ということで。
[03:52] これは、コミュニティに参加している方からの相談ですね。半年ほど前、三年ほど参加していた趣味のオフライン交流会があって、それをやめたという話ですね。
[04:09] 安倍晋三ですよ。検索すると出ますから、そんなに気にしないで大丈夫です。ただ、ツイッターって自分のことを大きく見せるわけじゃないですか。そういうのをちょっと恥ずかしいなと思って、ああいうザーツイッターみたいな感じのって、ちょっと恥ずかしくないですか？
[04:27] なぜなら、僕はそういうのはあまり好きじゃないんですけど、コミュニティの中だからね、自然体の自分でいたいなということで、消したというだけです。
[04:39] 表だと、意識高いことを書いて、意識高い方がきつけてってやんなきゃいけないですから。はい、ということでいきますね。辞めてからずっと孤独感にさいなまれています。辞めた理由は、会の雰囲気がだんだん競争的になって、純粋に趣味を楽しむ場所じゃなくなったと感じたからです。例えば、最後に参加したオフ会では、自分の作品を披露したら、もっとこうすればいいのにと上から目線のアドバイスばかりされて、傷ついてしまいました。
[05:03] それで距離を置いたんですけど、辞めた。今週末になると、仲間たちと過ごした時間が恋しくて、SNSで彼らの楽しそうな投稿を見るたびに胸が締め付けられます。ですが、あの雰囲気に戻るのは怖いし、気まずくて連絡も取れません。新しいコミュニティを探す気力もない。どうやってこの孤独を乗り越えればいいのかわかりません。ということです。
[05:24] ちょっと思ったより切実な悩みでしたね。はい、ということですが、これはどうしたらいいかは、個人の問題だと思います。まあまずは、
[05:36] 会の雰囲気がだんだん競争的になってきたとか、趣味を楽しむ場所がなくなってきた、というのは、コミュニティでは結構あるあるですよね。初めは楽しんでやろうよ、と言っていた場所でも、長くいると、例えば絵を描くなら絵は上手くなってくるし、ダンスを踊るならダンスは上手くなってくる。上手くなってくると
[06:06] これ普通のことで、入ってくる人数と滞在している人数の方が多いんですよ。百人のコミュニティに百人が必ず入ってくるわけではなく、入ってくるのは五人十人です。だから、百人の滞在の方が絶対多いんですよね。
[06:36] やってくると、そのレベルアップしている人たちの方を重視するのは当然のことです。必ず新人のための基礎教室だけをずっとやってたら、それって、そのコミュニティのターゲットというか、満足できるのは、常に入ってくる五人だけになるわけで、そこで奥で待ってくれてた残りの百人は、いつまで経っても基礎のことをやってるなーってなるわけですよね。なので、コミュニティって長く続いていくと、どんどんレベルが上がっていっちゃうんですよね、中におる人たち。
[07:03] というところで、ただ、相談者の方は、それにちょっとついていかないところがあった、競争的になっているっていうふうに、それをすごく感じてしまったということです。もっとこうすればいいのに、というアドバイスが来ちゃったのも、その人のことだったのかもしれません。
[07:17] まあ、あまりそういうのはよくないかもしれませんが、ずっと長くいると期待度も高くなっていくし、周りがどんどん上がっていくので、あなたも一緒にもっとレベル上がろうよ、という前向きな意味合いで言ったのかもしれません。でも、それに対してはやっぱり自分のペースで楽しみたかったとか、あくまでうまくなりたいとか、いいものを作りたいというよりは、趣味として楽しんでいたかったという自分と、コミュニティがずれていってしまったということなのかなと思います。傷ついて
[07:46] ごめんなさい。ごめんなさい。ごめんなさい。
[07:59] でも、それってあるよなって思います。やめた後も、楽しそうにしているのを見たら羨ましいな、いいな、やめなきゃよかったなって思うわけです。
[08:10] まず、結論として言えるのは、やめないほうが良かったと思います。疲れて傷ついたとしても、やめるという決断をしてしまうと、繋がりを断つことになるので、繋がりを断つのは意外と難しいのです。戻ることも難しくなるし、もちろん戻ってもいいと思います。その後は言いますけど、戻るにしても、やめてしまったということ自体が負い目になるから、だとしたら、まずは
[08:40] 本当は辞めずに距離を取るだけ、つまり参加しなくなるだけの状態を維持したほうがまだ良かったかなと思います。結構、今の世の中、辞めることに対して簡単に捉えがちなんですよね。退職代行とかも含めて。辞めるということは、コミュニティのその
[09:00] つながりを断つということだから、退職代行をして辞めちゃった会社にもう一度戻りたいと言っても、絶対戻れないわけです。でも、ちゃんと話して休職をしていたとか、外で経験を積みたいから、この会社少し離れて外で経験積ませてもらっていいですかと伝え、円満に退社したところなら、経験を積んで戻ってきましたと言った時に受け入れてもらえる可能性ももちろんあります。もちろんそうでない可能性もあるけどね。
[09:29] 重たいことですよ。相談者さんはもう十分わかっていると思うんだけど、いろんな人も自覚してほしいなと思うところです。なので、単純に距離を取って、待っていればよかったと。もちろん、お金が高くかかってるとかだったら、やめるのは一つの手だと思います。月額1万円払ってるとかで、距離を取るために参加しません、というのであれば、それはまあ、もったいないからやめてしまうのもわかるけど、オンライン
[10:00] とか、月額数千円、千円、二千円といった世界だと思うんですよね。だとしたら、無料で入れるとか低額で入れるなら、自分の気持ちの利害がつくかどうかを確かめる機関を設けてもよかったのかなと。
[10:14] 2ヶ月か3ヶ月くらい、いきなりやめずに様子を見てみると、やっぱりここに戻りたいなと思ったら、戻る時にはすぐ戻れます。もしやめてしまったとしたら、戻れなくなる。距離を置いただけだったら、忙しいとか家庭の事情とか、なんとでも言い訳ができます。
[10:33] というね。なので、いきなりやめるという選択は取らない方がいいよね、と思います。こんにちは。で、まあその上でもうやめちゃってるわけですから、投稿してくれた方は、やめちゃっている人たちをどうするか、というと、一つはあの—
[10:50] まあ、ちょっと気が早かったわ、と言って戻るというね。気まずくて連絡取れないのは、自己の問題なので、気まずいのはあなたの問題で、向こうは全然気まずくないことが多いです。どこ行ってたの？ などと。もちろん中には、やめたくせにすぐ戻ってきたんだよね、と言う人もいるけど、それを素直に言えばいいじゃないですか。やめたら、すごく楽しそうで、やめなきゃよかったと思って
[11:19] 会社だったらそうはいかないです。出入りは自由ですから、離れてみてからここがすごくよかったと言ってくれたら、コミュニティの価値を再認識してくれたんだと思ってもらえることは多いかなと思います。
[11:38] 僕は嫌ですけどね。辞めたくせに戻ってくる人は嫌です。辞めるなら出ていけばいいのに、と思います。
[11:48] でも、オーナーはそう思います。正直そう思う人は多いでしょう。でも、参加者からしたらそれは関係ないと思います。サービス提供者ではなく、仲間としてつながっている友人同士は、そういうふうに、まあ、そんなにコミュニティに愛着を持っておく必要はない、と思いますので、あの
[12:07] あいつが出ていったくせに、許せないと騒いでいる、逆にそういう参加者がいたら僕はちょっと過激だと思うので、逆に参加者にはね、うん、でもオーナーはそう思うと思う。普通に、だって出ていかないでほしいんだから、というのは思いますけど、でもこの人はどちらかというと気まずいのは、ユーザー同士の話かなと思います。だから、普通に素に戻ればいいんじゃない？ と思うし、うん
[12:34] でも、それも気まずくてできない場合もあると思います。そういう時は、関係している人たちはもう見ない方がいいと思います。SNSで見るとしんどくなるんで。ああ、楽しそうだな、集合写真いいな、と思ってしまいます。だったら、そのSNSからその人たちを消して、リセットしたほうがいいですよ。そこまでしんどくなるならね。
[12:58] 新しいコミュニティを探す気力が生まれたら、昔のコミュニティを見ているからですよ。新しいコミュニティを探す気力が生まれたら、残しておいてもいいですよ。別に嫌なくてもいいけど、SNSを見るのをやめるってことは大事ですね。SNSを見て、そう思うなら、そのSNSを見ないと決める。例えば、FacebookならFacebook、XならXを見ないと決める。どうしても普段使っていて見てしまう場合は、代わりに別のSNSを使うか、見る頻度を減らすなどの工夫をしましょう。
[13:27] それくらいして、自分の心を守って、コミュニティを探す気力を取り戻すところから始めた方がいいかなと思います。孤独に耐えられなくなってきたら、結局はコミュニティを探します。きっとそうなるはずです。なので、その時に戻りたいな、と思い出したら、記憶がよみがえって頭を下げてでも戻りたいと思うなら、その人たちを残しておく。 それはもうないなと思うなら切っておくぐらいにはっきり自分で行動してしまった方がいいかなと思いますよ。
[13:56] 右にも左にも、どちらにも行きたいからといって、宇宙しているとこの時間が一番メンタルに良くないと私は思います。はい、ということでぜひ参考にしてみてください。
[14:06] ということで、精神が傷つく、次いで、でもね、分かりますよ、この感じ。結構こういう人は多いと思うので、本当は仲間に加わりたい、戻りたいけど、いろんな事情があって、でもその人たちが仲良さそうにしているのを見ると、うん。
[14:24] 悔しいけど行けなくて、未だにいると思います。どちらの立場でも、そういう人はいると思います。僕はそこまで、一つのコミュニティに執着しなくてもいいと思います。
