タイトル: [復元] 2026/5/13 15:02:41
録音ID: rec_20260513084709
文字起こしID: 50
録音日時: 2026-05-13T08:47:09.491Z
文字起こし日時: 2026-05-13 08:48:21
エンジン: deepgram
言語: auto
使用テキスト: refined
元ファイル: rec_20260513084700_2fe937418ebadafa.webm

[00:04] speaker_0: はい。現在、ちょっと投影させていただいておりますが、見えておりますでしょうか。
[00:09] speaker_1: はい、見えています。
[00:11] speaker_0: はい、ありがとうございます。では早速始めさせていただければと思います。本日のアジェンダですので、少々お待ちください。
[00:27] speaker_0: 本日のアジェンダですが、こちらの5つの項目について進めさせていただければなと思います。
[00:39] speaker_0: まずはじめに、弊社側の会社の説明ということで弊社高尾よりご説明させて頂ければと思います。よろしくお願いいたします。その後に御社の方の会社の概要についてもご紹介いただければなと思いますのでよろしくお願いいたします。続いて
[01:00] speaker_0: 本打合せの中心のテーマでもあります。ファンサイトについて、目的およびゴールなどについて認識を合わせができればなと思いますので、よろしくお願いします。
[01:14] speaker_0: その後、要件定義書についての質問事項および確認などでディスカッションのお時間とさせていただければなと思いますのでよろしくお願いいたします。最後に、限られたお時間ではございますが、有意義なお時間となればと思っておりますので、本日はどうぞよろしくお願いいたします。
[01:39] speaker_0: 早速ではございますが、弊社の方の会社説明とさせていただければと思いますので、あの高尾さん、よろしくお願いします。
[01:48] speaker_2: はい。さくらさん、ちょっと
[01:51] speaker_0: はい。画面をお渡しいたします。
[01:58] speaker_2: 営業の高尾と申します。よろしくお願いいたします。
[02:04] speaker_2: 資料が長いので、簡単に説明をして、後ほど本資料を御社の方にお送りしたいと思いますので、よろしくお願いいたします。
[02:14] speaker_0: 。
[02:18] speaker_2: 画面が変わりましたが、見えていますでしょうか。
[02:22] speaker_2: と、まず簡単に会社概要ですが、私どもコンピューター・ハイテック株式会社と申します。本社は台東区上野、上野のJRの駅前にあります。会社としては1984年設立、今期で4期目を迎える会社です。
[02:42] speaker_2: 会社の規模としては資本金が1億円、売上が昨年度で13億弱で従業員が約100名ほどの会社でございます。
[02:58] speaker_2: 業務内容としては1・2・3ということでは、現場密着型IT伴走パートナーというもので、Web・クラウド・スマホ等のシステムの受託開発で、3番目として自社商品サービスの販売をやっているという会社でございます。
[03:17] speaker_2: ちょっと会社概要は以上のようになります。
[03:20] speaker_0: 。
[03:20] speaker_2: では、次に
[03:23] speaker_2: 初めてのお客様の時ですね。ちょっといつも話していることなんですけど、初めにということでA社において大切にしていることと、お客様との関係性についてということで、簡単にお話しさせていただきます。まず弊社において大切にしていることとしまして
[03:43] speaker_2: お客様と対面でのコミュニケーションを重視します。
[03:48] speaker_2: 顔が見える関係で認識のズレを防ぎます。二つ目に、プログラムの要求仕様だけでなく、お客様の業務とその背景、そして利用者の思いを理解します。よく開発会社にありがちなのは、作るごとに専念してしまって、もう作ることに夢中になるというケースが多いんですけれど、我々はまず作る前にお客様と話をして、相互に理解をすることを重きを置いている、ということになります。
[04:08] speaker_2: 二つ目のお客様との関係性について、当社はお客様と同じ船に乗り、同じ目的地を目指すパートナーですと。
[04:29] speaker_2: 発注側・受注側という立場にとらわれず、同じ目線で課題と目標に向き合います。プロジェクトの成功をお客様と弊社との双方の成功と捉え、共に成果を作り出します。要は単なる外注先のベンダーということ。
[04:46] speaker_3: ではなくて、同じ目標を掲げた
[04:46] speaker_2: チーム仲間として仕事、現場密着型IT伴走パートナーについて
[05:00] speaker_2: 現場密着型IT伴走パートナーについて、ちょっと簡単にご説明させていただきます。
[05:12] speaker_2: 私たちがお客様のシステムを検討する上で、検討段階から開発が完成し、運用後までお客様が満足する成果が出るまで、一緒にお客様と伴走します、という形のもの。
[05:32] speaker_2: 我々の中で、現場密着型IT伴走パートナーという位置づけでおり、下の三角形の図があるんですけど、簡単に言いますと、一番上の要は作る前にきちんと課題整理、現状把握、業務理解をすること
[05:52] speaker_2: そして右下に行って要件整理、設計開発テスト、これをきちんとやること、そしてお客様の運用保守・改善、この三つをきちんとトライアングルとしてサイクルをお客様と一緒に回すということを、重点的に取り組む人たちは考えています。
[06:13] speaker_2: 要は作ったら終わりというだけではなくて、お客様と長いお付き合いをさせていただくということで、いろいろな話をして回し、システムを収めたからといってそこでも終わりではなくて
[06:28] speaker_2: 、改善につなげて、お客様のシステムや製品がますます成長していくことを一緒にやっていきたいと思っている会社でございます。で、そのようなことがこの後ずらずらと書いて
[06:48] speaker_2: ありますが、1つだけちょっとお話をしたいのが、よくこういう開発をやっているところでやっている中でありがちなシステム構築失敗パターンというのを、ちょっと簡単にご説明させて頂ければと思います。まあ左側にありがちなシステム構築してパイ
[07:08] speaker_2: パターンというのが書いてあって、要件フェーズと要件定義フェーズがあるんですけど、ここは発注側、お客様と受注側、開発側、それぞれ協力してきちんと理解してやらなければいけないところなんですけれど、ここで要求が曖昧だったり課題が曖昧だと、使いにくいシステムができてしまう。
[07:28] speaker_2: 当社は、それぞれ協力しなければならない。協力してきちんと理解してやらなければいけないところなのですが、ここで要求が曖昧だったり課題が曖昧そうすると、使用漏れにつながって、業務理解の不足という形で、最終、ものができても
[07:48] speaker_2: 使いにくいシステム、使われないシステム、業務が改善されない。こういうことがやっぱり開発の中ではよくある失敗パターンです。我々は、それを防ぐために作る前に整えます、ということと、目的では開発でなく、業務改善です、ということです。
[08:08] speaker_2: だと思います。この後はずっと
[08:28] speaker_2: システム開発ということで、どんな形のシステム開発をしてきたかということがずっと書いてあるんですが、ちょっとこれを読んでいると時間が終わってしまうので、最初のこの1ページ目のところのものだけ、簡単にちょっとお話しさせていただきます。
[08:34] speaker_2: 弊社は、SESとか派遣という開発会社ではなく、エンドユーザーに寄り添う請負開発を主軸としている会社です。ということ。二点目は、新規案件追加開発、再生拡張など、様々な形での内容
[08:54] speaker_2: は現在最大で100人月規模の開発までできるような形になっており、3番目としては新規開発だけでなく、属人化したシステムといったそういうところにも対応しています。4番目、短期的
[09:15] speaker_2: 長いお付き合いをして両者が共に成長し続ける関係を目指していますと、この形でシステムの請負開発をやっていきます。
[09:35] speaker_2: で、近頃特徴的なところの話としては、AWSという言葉はお聞きしていると思いますが、AWSについては会社として力を入れています。
[09:48] speaker_2: 全12資格があるんですけど、それをコンプリートしているものもいたりということで、多くの資格を持っている者があり、AWSについては、インフラからアプリ、運用保守までできるという会社になっております。
[10:12] speaker_3: この後ずっと開発事例がいっぱいい続くんですけど、ちょっと省略します。簡単に言うと、銀行系だとか販売管理だとか省エネだとか医療系だとか、結構ありとあらゆる分野
[10:12] speaker_2: ベンダーシステムを開発しているという会社でございますので、今回の案件についても技術的には全く問題ないというふうに理解しており、どうぞよろしくお願いいたします。
[10:32] speaker_2: します。
[10:46] speaker_2: ちょっとばかり喋ってしまいましたが、何か確認事項ですとかご質問があれば、ぜひお願いします。
[11:00] speaker_1: はい。こちらは大丈夫です。ありがとうございます。
[11:03] speaker_2: るみさちゃん、後ほど資料をお送りさせていただきますので、ありがとうございます。
[11:11] speaker_0: はい。タカさん、ありがとうございます。では、続いて模写の方で国分プレス工業様の会社のご紹介ということで、よろしくお願いいたします。
[11:22] speaker_1: はい、えーと、今回お願いさせていただくのはユリンプロといったですか、国分プレスグループのグループ会社のファンコミュニティサイトを制作ということでご連絡させていただいたんですけど、内容的にはどうしましょうか。
[11:42] speaker_1: 国分プレスの方からよろしいですかね。
[11:51] speaker_0: はい。ひとまず、よろしくお願いします。
[11:55] speaker_1: はい、ちょっとごめんなさい。資料とかはないんですけど、国分プレス工業です。ね、一応本社というかメインの以前が埼玉県幸手市の方にありまして1951年創業ですね。製造業をやっておりまして自動車関連。
[12:16] speaker_1: を中心とした金属プレス部品です。製造を主力に行っています。基本メイン自動車なんですけども、そのほか建築用品金具とかその辺も一通りです。プレス品の加工と溶接、表面処理と
[12:37] speaker_1: 行っています。そのほか金型の自社の金型の設計製作を行っているというところが強いところです。お客様の方は、村さん
[12:50] speaker_1: などですかね、大手メーカーさん、その取引実績になりまして、まあ素直に渡り信頼を受けるというところになります。新友の方は私と今日出席させていただいている鈴木の方は国分工業の
[13:10] speaker_1: システム化のとして参加させていただいてます。選択にあたっての細かいところまではちょっと難しいかもしれないんですけども、今後構成とかですね。サイトの実際運用するのはユリンプロ36になるんですけど
[13:31] speaker_1: もそこまでのサポートとか、なかなかシステム詳しい方はいないので、私たちサポートで入らせていただいて確認させていただくという形をとっています。よろしくお願いいたします
[13:51] speaker_1: あと、ユリンプロの方はいたします。矢崎さんの方
[13:59] speaker_1: 有利プロの観察という形でこの会議に参加させていただいております。実質運用するメンバーは有利プロのメンバーがやるんですけども、こういったシステム的にあまり詳しい人間がいないという形で、今日はちょっとですねまだ参加していないような形
[14:19] speaker_1: になります。
[14:20] speaker_0: 。
[14:21] speaker_1: ユリンプロとしては声優ですね、アニメーションとかあとナレーション、こちらの関係のビジネスを約40年近くやってきました。
[14:30] speaker_3: ました。
[14:30] speaker_1: この度、昨年ですか、昨年の10月に国分オフィスグループに入るようになりました。
[14:40] speaker_1: 製造業とは別に、このエンタメ系。映画を作っている、オープンできる会社とか映像配信ですね。あと有利プロ、あと国語コンテンツ、YouTube事業。
[14:53] speaker_3: といった形で東京の四谷近辺に、三者とまとめて集まっています。
