タイトル: 7000人を集めたサロン運営者が伝えるコミュニティの悩み
録音ID: rec_20260410090713
文字起こしID: 12
録音日時: 2026-04-10T09:07:13.963Z
文字起こし日時: 2026-04-10 09:17:16
エンジン: whisper-cpp
言語: ja
使用テキスト: refined
元ファイル: rec_20260410090713_920eea60d901bfde.mp3

[00:00] はい、今日は新しいお悩みが来ています。このYouTubeでは、皆さんからのオンラインのコミュニティであったりとかのお悩みを募集しています。運営している方、主催者・運営者の方々からのお悩みであったり、参加者からのお悩みであったり、というのを
[00:30] お答えさせていただきます。私は中田厚彦オンラインサロン・プログレスというところを、実際に4〜5年ほど運営をさせていただいており、私が入った当時は300人のサロンを、最終的には最大7000人弱まで伸ばしたという実績がございます。
[01:00] 3万人ぐらいの延べ人数の会員さんと触れ合う中で、いろんな人間模様がコミュニティにはあるんだなと、そして特に私がユーザーさんとは直でいろんなやり取りをする立場だったので、いろんなユーザーさんの気持ちとか声を直に聞いた結果、感じたこと、思ったことというのがありました。
[01:30] お悩みを読み上げます。
[02:00] お悩みを読み上げます。
[02:30] これは結構切実な悩みで、あるあるだと思います。厳しいですね。一つは、管理者なんだからちゃんと仲裁してよと直接メッセージが来てしまいます、ということに関して、これが結構しんどいんですよ。しんどい要因として
[03:00] 一つあります。公開でダメ出しをされることです。イベントの企画がうまくいかなかったら、運営の責任だと公開チャットで批判される。公開で批判されると、普通にダメージを受けます。自分の場所で自分を批判する人がいるのはとてもしんどいし、しかも公開で批判されたものには賛同する人が現れづらい、という状況です。
[03:30] ユーザーの中で強固な信頼関係ができてしまうと、傷つくのは運営者だという一点に集約されます。運営者だけには味方がいないと感じ、相当しんどい気持ちになります。公開での批判は大きなダメージです。さらにダメージになるのは、直接のダイレクトメールによる批判や要望です。
[04:00] コミュニティの形にもよりますが、運営者とメンバーの距離が近いコミュニティは世の中に結構あります。しかし、直接メッセンジャーやLINE、DiscordなどでDMでやり取りをたくさん交わすようになるのは、実は少し危険です。なぜなら、最終的にこうした事態につながってしまうからです。
[04:30] 管理者なんだから、管理者に直で連絡したら了承をもらえる、となると密室が生まれます。密室が生まれると、密室で伝えた方が早いし意思決定も早く、ダイレクトに意見が通るため、ユーザーとしては楽です。そのほうが
[05:00] ユーザーからは、直接要望を伝えても表に出ないため、ダメージは自分にはなく感じられます。しかし公的に要望を出して無視されると、つらいですね。自分はこういうのが必要だと思う、と公的に伝えた結果、みんながそうだとなるか、運営者が無視するとなると何だったのかと思ってしまいます。ダイレクトメールは、密室が生まれるため、非常に言いやすいのです。
[05:30] 『管理者なんだから仲裁してください』と、○○さんと○○さんの言い争いを仲裁するのが管理者の役目ではないですか。そんなふうにチクチクとした言葉で行動を促してくる、あなたのためを思って私がこっそり伝えている、コミュニティのためを思って…という風に伝えてくるので、無視できません。DMが来た時点で直接やり取りをいつもしているのだから、DMを無視するのはなかなか難しい
[06:00] そんな場合には、DMへの返答も晒されてしまうことがあります。例えば『○○と言ったら』と話しても、現実的には難しいところがあり、返事をしたら削除されて運営に言ってもダメでした。『無能』とか私も相談してみたけど、こんな返答で本気でコミュニティのことを考えているとは思えません、などと晒されることがあります。信じられないですが、私としては。
[06:30] 2つのデメリットというより、起こってしまうことは実際にあります。それに対する対処法もあり、まずは気持ちの持ち方、そして物理的な対処法というところを
[07:00] 書いておきます。せっかくですので伝えておきますと、物理的には、まずダイレクトメッセージをしない、これが1つのOKです。ダイレクトメッセージをしないと、結構仲良くなれないじゃんと思うでしょう。そこで、まずはダイレクトメッセージをしないで運営にメッセージを飛ばせる方法を確立してください。
[07:30] でも、それには突っ跳ねてください。
[08:00] そのコミュニティに対する意見は、記録に残したいので必ずフォームで送ってください。そうすると、個人的な友人間のやり取りや履歴に残すほどではないことは、これまで通りダイレクトメールで仲良くできます。ただ、トラブルや要望みたいなものには、こちらを通してくれない、という風に
[08:30] そのためには、もう1つ仕掛けがあり、それは運営を1人でやらないことです。運営を1人でやらず、コミュニティに対する指摘・相談・要望というものは運営者2人に見えるようにします。そうすると、2人に見えるためには、個人のメールはNGで私に個人で言ってとか、もう1人の人に個人で言って、などと伝える
[09:00] とか修正してもらいました、と言ったら私が分からない、もう1人が分からない、これ結構トラブルの元になっちゃうから、必ず2人が見える場所で相談してほしい。ただし、2人に見せられないプライベートのメッセージや友人としてのやり取りはLINEのままでいい、というルール設定にしておきます。つまり、そういった場所を用意して運営に伝える方法を用意しておく、ということです。
[09:30] 相手は結局、隠れたい、こっそり伝えたいという人間なので、基本的に限られた人間しか私しか見えない場所を用意してあげるのが一番です。その上で、2人以上で運営して、その2人で共有しなければいけないから、こういうふうに正規のルートを通して要望を出してください、というふうに個別にちゃんと仲裁してよ、と言って
[10:00] その際も、トラブルの内容などをあちらに送ってくれれば私ともう1人で対応できます。そっちに送ってくれない場合は、終わりです。具体的な手順に触れずに、手順の方法を紹介して終わりにします。面倒だと思えば、相談者は正規の手順で送ってこないので、相手は送ってこない、そういう設計にしておくと楽ではないでしょうか。
[10:30] 指摘が届いたら、それに答えてもいいし、指摘を送って終わりでもいいと思います。それで改善していけばいいですね。
[11:00] 一度別の場所を経由させる、さっきの手法と一緒ですね。
[11:30] これは事務的に引き下げる、という話です。そういう話は次の話になりますが、本人がやらないなら、もう一人の協力者に任せるのが一番楽です。ここではやらないでくださいと伝える、という二つの方法によって火を小さくしていくのが大事です。外部のSNSだとフラットになってしまうのでできませんが、コミュニティではルール設計によって
[12:00] 時には休みたいと思っても、管理者として放ってはおけません。距離をどう保つか分かりません。これは、すでに最初から言っている解決策です。もう一人の運営者を置いてください。協力してくれる人を置くということです。能力が高い人でも、仕事として頼む人でも、単純に一番仲のいい友達でも構いません。
[12:30] ただし、疲れたな、忙しいなと思うときもあります。例えば海外旅行に1週間行こうと思っても、コミュニティがあるから行けません、となるとしんどいです。そのため、誰かに任せることは、コミュニティを維持する意味で非常に重要です。サブリーダーや副管理人といった形で、そういった人を置くのでも構いません。
[13:00] 大きなトラブルが起こらないような事情・作用がある。そういったルール設計、仕組み、システム設計にしておくと、放っておいても大きなトラブルが起こらずに進められます。つまり、まずは人を増やす。管理側を1人増やすことで、自分の平穏を保つとともに、システムや仕組みそのものを
[13:30] 改善することにより、自分のメンタルが傷つかないように、自分が何がしんどいのか、何にメンタルが来るのかを理解して、それを守れる仕組みを作るとよいのではないかと思います。何より、コミュニティで自分のメンタルを崩す、バランスを崩すのは本末転倒です。コミュニティはメンタルを安定させたり、自分の
[14:00] 第三の場所としての友人コミュニティは存在すると私は思っています。優先順位が壊れてしまうと、少しコミュニティに熱を入れすぎている可能性があります。もう少し単純に、熱量を落としていく。言い争いを起こらないよう更新頻度を下げ、反応する頻度を下げていくことによって
[14:30] そういったテクニックも使えるのではないかと思います。今日はこのお悩みに対して、こんな回答になりました。結構しんどいとは思いますが、こういったことが何かヒントになればと思っています。ありがとうございました。
[15:00] これは本当に事務的に引き下げをする、という話です。そういう話は次の話になりますが、本人がやらないならもう一人の協力者に任せるのが一番楽です。ここではやらないでくださいと伝える、という二つの方法によって火を小さくしていくことが大事だと思います。外部のSNSだとフラットになってしまうのでできませんが、コミュニティではルール設計によって
[15:30] 時には休みたいと思っても、管理者として放っておくわけにはいきません。距離をどう保つか分かりません。これは、すでに最初から言っている解決策です。もう一人の運営者を置いてください。協力してくれる人を置くのです。能力が高い人でも、仕事として頼む人でも、単純に一番仲のいい友達でも構いません。
[16:00] ただし、疲れたなとか忙しいなと思うこともあります。例えば海外旅行に1週間行こうと思っても、コミュニティがあるから行けません、となるとしんどいです。だから、そういう間に誰かに任せることは、コミュニティを維持する意味で非常に重要です。サブリーダーや副管理人といった形で構わないです。
[16:30] この話題も同様に、疲れた時は誰かに任せることが重要です。
[17:00] 有料で優れた人が来るときにはお金を払うこともありますが、もう一つ、管理人として放っておけません、という雰囲気や感覚は非常に責任感があり素晴らしいと思います。ただし、逆に言うと、コミュニティは最初から放っておいてもいいという設計にしたほうが良い、ということで放っておいても
[17:30] 大きなトラブルが起こらないような事情・作用がある。そういったルール設計、仕組み、システム設計にしておくと、放っておいても大きなトラブルが起こらずに進められます。つまり、まずは人を増やす。管理側を1人増やすことで、自分の平穏を保つとともに、システムや仕組みそのものを
[18:00] 改善することによって、自分のメンタルが崩れたり、バランスを崩したりするのは本末転倒です。コミュニティはメンタルを安定させたり、自分の
[18:30] 第三の場所としての友人コミュニティは存在すると私は思っています。優先順位が壊れてしまうと、少しコミュニティに熱を入れすぎている可能性があります。もう少し単純に、熱量を落としていく。言い争いを起こらないよう更新頻度を下げ、反応する頻度を下げていくことによって
[19:00] そういったテクニックも使えるのではないかと思います。今日はこのお悩みに対して、こんな回答になりました。結構しんどいとは思いますが、こういったことが何かヒントになればと思っています。ありがとうございました。
