タイトル: クリエイター向けコミュニティの外部企業コラボを巡る運営の対立解消法
録音ID: rec_20260421015713
文字起こしID: 27
録音日時: 2026-04-21T01:57:13.127Z
文字起こし日時: 2026-04-21 01:57:23
エンジン: deepgram
言語: auto
使用テキスト: refined
元ファイル: rec_20260421015713_6f29734fe3fbeb7a.webm

[00:02] 今日も相談のお悩み解決していきたいなと思います。
[00:09] 今日のところの内容は。
[00:12] 実際はクリエイターさん向けのオンラインサークルをやっている方ですね。管理者の方ですね、からの相談です。自分が運営するクリエイター向けオンラインサークルで最近外部コラボの話が立ち上がった頭を悩ませています。とある企業からうちのツールを使って作品を作ってコミュニティで共有するそんな企画。
[00:32] やりませんかと提案されました。条件は悪くない、そしてメンバーにとったメリットがあると思ったので運営スタッフに相談をしました。一部の運営スタッフに相談しましたが、スタッフの一人がうちのコミュニティは独立性を大事にしてきたのに危機と絡むなんてあり得ないと猛反対。過去に別のコミュニティで危機をコラボが失敗した経験があるらしく、感情的に
[00:52] なって全く話が進みません。せっかくのチャンスを逃したくない、運営内で分裂するのも避けたい。どうやってみんなを納得するばいいのか不安でしかたないです。ということです。なるほどこれはちょっと新しい軸のお話ですね。つまりあれですよね、メンバーさんからの不満でとかっていうよりは運営の中での方針の違いが生まれ
[01:13] というお話ですね。企業からツールを使って作品を作りませんかというと、いわゆる案件をもらったっていう形ですかね。
[01:57] そうですね。最近その案件ってね、コミュニティに対してもちょこちょこと増えてるっていう話は聞きます。
[02:06] コミュニティの規模感にも当然よりますけどね、向こうばらまいて案件を高いお金を払ってやるよりは、参加人数とかのもう目安が立ってて、そもそも熱量が多くて、それで方針性も合ってる人たちに対して使ってもらうと。つまり拡散もあるけどフィードバックを第一に求めている場合。
[02:27] なんかは、コミュニティに対して何か案件とか企画やってみてどうだったか教えてくれますかとか私たちも参加させてもらえますかとか結構あるあるですね。うん、なので条件が悪くなくて、コミュニティのためになるということであれば、僕は全然やったらいいんじゃないっていうのはもう思うんですけど、ただね
[02:47] 案件っていうのが嫌だよっていう人は一定数いるんですよね。まあ褒めなきゃいけないとかもそうだし自由な発言ができないとかもそうだし、何かその何か忖度がそこに生まれるんじゃないかみたいな、あとは単純にその案件ということ
[03:06] は、まあ何かその利益を曲がってるんじゃないかと思われちゃうとかね。お金儲けるためにやってるんだ、俺ら使って金儲けてるんだとかって、まあそういうのは色々何か反発があるよねって実際どれかは全く分からないです。だけどそういう反発があるよねっていうのは分かると、独立性を大事にしてきたのに企業と絡むのはあり得ないって
[03:26] 言ってきた運営さんっていうのは、スタッフさんというのはですかね。昔のコミュニティで失敗したって言ってました。正に何か縛りが大きくてしんどかったとか、コミュニティ企業のね、想定している動きをコミュニティのメンバー全員がしてくれるわけじゃないわけですよね。何かハッキング的な行為をするっていう好奇心旺盛な人もいるです。
[03:46] そうし。何かね、せっかくの飲食の提供権だけどまずいこんなのとか添加物いっぱいじゃんとか言われちゃって、なんか企業の人は嫌な思いしちゃったとか色々あるよね。そういうことは。なのでというのにラバースになる気持ちも分かると思いますが、感情的になって話が進まないのはちょっと厄介な部
[04:06] 分ではあるので、今回では、まずメンバーの人たちとのトラブルではないので、一つは良かったというところで、問題なのは運営の分裂がどう防ぐかとか、どう納得してもらうかっていうところなのか、なのだと思います。
[04:33] よくこういう時に便利な言葉としてあるのは、まあリーダーのね、あのワンマンのところ、ワンマントップリーダーのところはうるせえなとお前が対象者が関係てんだよっていうふうに言ってやっちゃえばできるとは思うんですけど、まあそれってやるとね、運営側からも不満が溜まると思うので、一つは実験っというふうな形式にしちゃう。
[04:54] でもこうやって、他者とのね外部コラボってしたことないから、しかも条件は全然悪くないし、担当者さんすごくいい人だったんだよね、っていうところ。本当にただの関係じゃなくて、結構本当に良い感じだったから、一回実験のつもりでやってみないみたいな。他のコミュニティで失敗したんだったらその経験を生かした上
[05:14] で何が駄目だったのか教えてくれたら
[05:18] より良い実験ができるんじゃないみたいな。でもこれなら駄目だったのにどうせやらせようみたいな。何かそんな感じで、これってお試しなんですようっていうところを伝えていく、運営の人たちっていうのは一つの方法ですね。ちょっと感情的になっちゃってるんだとしたらもう一個は感情を聞いてあげるっていうことで、いや何でそのありえないって
[05:38] なるのかが単純に分からないんだけど教えて欲しいっていう。だって別にカランダが何かが毀損されることではないんじゃないって。でもその人は多分何かが失われるって思ったり何かが壊れるっていうふうに思ったり何かが良くなくなるって思ってるから感情的になってるんですよね。守りたいとかってね、だったらその理由をちゃんと聞いてあげる
[05:58] ってことがまず大事か。話を前に進めるというよりは、一回その話を受け止めてあげるっていうことは、単純に人とのコミュニケーションにおいても大事かなと思うので、感情の部分を吐き出させてあげるっていうのは、いいとして、受け止めた上でなるほどと、すごく分かった、でもすごく分かったし
[06:19] でもこのチャンスは逃したくないっていうのは正直に伝えたらいいと思います。せっかくこれはチャンスだと、これで成功したらうまくいくし、成功したらすごく大きなチャンスになる。実際、利益も出るっていうところ。感情を受け止めた上で提案したらそこまで、もうそう言うんだっていうなら私は参加しないけど勝手
[06:39] に進めてくださいねとかっていうのは全然あると思いますし。じゃあもう分かりましたって納得してくれることもあると。一度感情を受け止めてあげるっていうことが大事です。ただこれ、メンバーとの関わりで感情を全部受け止めれると疲れちゃいますから。メンバーがね、私 はそんなの許せないって言ってる人の感情を一対一でうんうんそうだ
[06:59] よねって聞いてたら疲れちゃうけど、これスタッフさんのお話なので、これからも一緒にやっていく中ですから、スタッフさんの感情っていうのは、しっかり聞いてあげてもいいのかなっていう風に思いますね。
[07:11] その上で、もう一個話はね、進めない、進めすぎないっていうところも含めて
[07:22] 何て言うんだろうな。その人を置き去りにして話を進めるって方法があるんです。逆に言うと。その人を絡めると話を進めずにいっぱい感情をって話ですけど、その人絡めるなりで話を進めるって方法は絶対あって、つまり相談した先がちょっと間違ってたっていうところですね。信頼してるスタッフなんでしょうけど、一部のスタッフ
[07:42] っていうことなので、多分複数いるんです。なので他のスタッフさんで乗り気な人にそのプロジェクトを相談する、と。その人の責任で進めてもらう。もちろん自分もだけど。つまり
