タイトル: AIの進化で割を食う初級者とプロへの成長過程における苦悩
録音ID: rec_20260427154334
文字起こしID: 31
録音日時: 2026-04-27T15:43:34.700Z
文字起こし日時: 2026-04-27 15:43:41
エンジン: grok-stt
言語: Japanese
使用テキスト: refined
元ファイル: rec_20260427154334_d3daf30cb44cf50e.webm

[00:00] AIの進化によって、誰が一番割り食ってるのかって言ったら、ピョピョソードというか、どうしようもないアマチュアに毛が生えるか生えないかみたいなレベルの人たちだよね、って思うんだよね。
[00:24] ね。一番しんどいのは、デザインができること、ホームページが作れることで、芝居させられたみたいな。
[00:31] ビジネス界隈からしたら、本当にピョピョのピョピョたちが割り食ってると思うわけだけど。
[00:40] 同時に、ある意味で言うと、そのプロになる過程では、その期間は必ずあったわけじゃん。
[00:51] Chia foi a serê tudinho, e chutot só a gosto çá é só pôr a gosto. E aí, aí é o que a gente tá fazendo, a gente tá fazendo o que a gente tá fazendo, a gente tá fazendo o que a gente tá fazendo.
[01:04] 大きい仕事を任されてという声が流れ、必ず人間にはあるわけだけど、俺は思ってるんだよね。でも、そこがまるごと家に置き換わった時に、その
[01:17] じゃあ、絵で食ってくる人たちは、これからどうやってそこにたどり着くのっていうさ。ところが、意外と問われていないんじゃねえっていう、うん。
[01:28] 絵が描けることでお小遣いを稼ぐという経験がなくなるわけだから、その上手くなるための階段が一回ガクッとなくなってる状態でさ。だから既得権益者というか、もうすでにやってる人たちは、まあこれからも全然生きると思う。
[01:45] でも新人はAIにより育たなくなるんだろうな。少なくとも潜在的な人数は絶対減るよな、って。
[02:03] うん。そこはちょっとこう、思う。
[02:08] でも、俺も金を出さないからさ。ほんと、人間で残酷って思う。だけど結局、その新しい才能はAIをうまく使える領域になるんじゃないかなと思うんだよね。
[02:28] やっぱりデザインセンスのある人がAIを使うと違いますね、っていうのがお金になるっていう、うん。
[02:37] ってなってくると、それってデザインの勉強はするけど、手を動かすことではなく、知識を持って機械を動かすことで金を稼いでいるから、なんかすごい。その辺が新人たちの金の稼ぎ方が変わることによって業界変わっちゃうよね。
[02:56] と、今は思ってます。
[03:04] うん。
[03:06] なっちゃうアーティストは生き残ると思うけど、あのエーアイでアートを作るのは、また別ジャンルだからさ。
[03:18] 人の手の跡と、やっぱりイラストレーターという存在。そういう意味で言うと、あれだよな。家持さんはお好み焼きはやって正解だったのかもしれない。
[03:33] うん。エオさんってたしか元々そういう悩みを抱えてたじゃん。ちょっと自分の絵がなくて、言われた形に直すというか。
[03:45] うん。もはや完全にそれで領域が被ってるようなこのキャラクターを、あのアメリカタッチにしてとか、スミエにしてとかは完全に今はまだいけるけどさ、五年もしたら著作権感覚も許されるようになってさ。
[04:06] うん、っていう。
[04:10] そんなこと、思いました、っていう。
[04:14] うん。本当に割を食うのは Cindy。うん。
[04:35] 版。
[04:42] うわ。
[04:44] いいね。でも、みんな素直だよな。
[04:57] そうだよね。
[05:06] 今の、俺の知り合いの若い女の子がいいんだけど、親と友達でさ、大学生、今社会人一年生かなぐらいの子がいて。
[05:21] その子はイラストレーターみたいになりたいというのがやっぱりあるわけよ。
[05:26] だから、あの居酒屋のメニューの、なんか4つくらいのメニューを任せてもらって、頑張ってトマトを買ったんだ、みたいな話をしててさ。
[05:38] 結構いいじゃん、みたいなのが色ちゃんが生まれて直後ぐらいだから。
[05:45] 3年前ぐらいの話だよ。
[05:49] いいじゃん、イラストをこんなに頑張ってやってこうね、みたいな感じで、iPadをあげたんだよね。
[05:57] あ。別に、あれだよ、トラブルにはなってないけど。
[06:04] では、そんなこんなでさ、考えたのは三年間でさ、俺はその後にイラストレーターで食べていけるよなんて言えねえなって思っちゃうわけよね。
[06:16] iPadと返してほしいなって、今、思ってる。
[06:28] もう3年前のiPadなんか使ってないだろう。
[06:33] Wi‑Fiモデルだし。
[06:42] もうおそらく使ってるんだろう。貸してほしい。ヨちゃんにあげたい、という。
[06:51] でも、本当にそういう意味で、若い子は育ちづらいんじゃねえかなと思ったわけだよね。
[07:00] うん、でもそういうこともないね。
[07:09] なるかもな。
[07:26] 逆に、若い子たちは適応してるんだろうからさ。
[07:31] あなたが言ってるのは古い地球人だよ。なんか言う？
